;;;;;;
Name;Coord;Name_Plan;X;Y;Lat;Lon
P1;X1;B.01;446212.719;571833.489;;
;X2;B.02;446272.082;571824.797;;
;X3;B.03;446450.628;571801.943;;
;X4;B.04;446448.363;571786.044;;
;X5;B.05;446442.879;571747.550;;
;X6;B.06;446205.574;571783.342;;
P2;X1;B.07;446203.882;571771.462;;
;X2;B.08;446322.534;571753.567;;
;X3;B.09;446314.071;571694.169;;
;X4;B.10;446195.419;571712.065;;
P3;X1;B.11;446334.399;571751.777;;
;X2;B.12;446440.577;571735.763;;
;X3;B.13;446429.957;571676.691;;
;X4;B.14;446325.936;571692.380;;
P4;X1;B.15;446192.598;571692.266;;
;X2;B.16;446245.991;571684.213;;
;X3;B.17;446227.161;571552.054;;
;X4;B.18;446173.768;571560.107;;
P5;X1;B.19;446257.856;571682.423;;
;X2;B.20;446311.250;571674.370;;
;X3;B.21;446292.420;571542.211;;
;X4;B.22;446239.026;571550.264;;
P6;X1;B.23;446323.115;571672.581;;
;X2;B.24;446421.992;571657.668;;
;X3;B.25;446413.423;571597.528;;
;X4;B.26;446314.546;571612.441;;
P7;X1;B.27;446312.854;571600.562;;
;X2;B.28;446411.731;571585.649;;
;X3;B.29;446403.162;571525.509;;
;X4;B.30;446304.285;571540.422;;
P8;X1;B.31;446426.030;571632.914;;
;X2;B.32;446464.027;571614.129;;
;X3;B.33;446451.694;571521.257;;
;X4;B.34;446412.029;571526.541;;
P9;X1;B.35;446473.492;571609.438;;
;X2;B.36;446520.833;571586.022;;
;X3;B.37;446511.161;571513.353;;
;X4;B.38;446461.595;571519.947;;
P10;X1;B.39;446532.179;571580.412;;
;X2;B.40;446579.520;571556.996;;
;X3;B.41;446572.628;571505.190;;
;X4;B.42;446523.062;571511.764;;
P11;X1;B.43;446588.985;571552.305;;
;X2;B.44;446636.306;571528.909;;
;X3;B.45;446632.096;571497.265;;
;X4;B.46;446582.530;571503.859;;
P12;X1;B.47;446172.075;571548.228;;
;X2;B.48;446290.727;571530.332;;
;X3;B.49;446282.264;571470.935;;
;X4;B.50;446163.612;571488.830;;
P13;X1;B.51;446302.592;571528.542;;
;X2;B.52;446401.469;571513.629;;
;X3;B.53;446393.006;571454.232;;
;X4;B.54;446294.129;571469.145;;
P14;X1;B.55;446410.460;571514.639;;
;X2;B.56;446509.572;571501.451;;
;X3;B.57;446501.667;571441.984;;
;X4;B.58;446402.635;571455.152;;
P15;X1;B.59;446521.473;571499.882;;
;X2;B.60;446630.507;571485.384;;
;X3;B.62;446513.569;571440.395;;
;X4;B.63;446647.652;571523.280;;
